              Obs    species           temperature      pulse_rate
 
                1    exclamationis            20.8            67.9
                2    exclamationis            20.8            65.1
                3    exclamationis              24            77.3
                4    exclamationis              24            78.7
                5    exclamationis              24            79.4
                6    exclamationis              24            80.4
                7    exclamationis            26.2            85.8
                8    exclamationis            26.2            86.6
                9    exclamationis            26.2            87.5
               10    exclamationis            26.2            89.1
               11    exclamationis            28.4            98.6
               12    exclamationis              29           100.8
               13    exclamationis            30.4            99.3
               14    exclamationis            30.4           101.7
               15    niveus                   17.2            44.3
               16    niveus                   18.3            47.2
               17    niveus                   18.3            47.6
               18    niveus                   18.3            49.6
               19    niveus                   18.9            50.3
               20    niveus                   18.9            51.8
