                             Obs    weight    feed
 
                               1     60.8     feed1
                               2     68.7     feed2
                               3     92.6     feed3
                               4     87.9     feed4
                               5     57.0     feed1
                               6     67.7     feed2
                               7     92.1     feed3
                               8     84.2     feed4
                               9     65.0     feed1
                              10     74.0     feed2
                              11     90.2     feed3
                              12     83.1     feed4
                              13     58.6     feed1
                              14     66.3     feed2
                              15     96.5     feed3
                              16     85.7     feed4
                              17     61.7     feed1
                              18     69.8     feed2
                              19     99.1     feed3
                              20     90.3     feed4
